id,standard,alternative,english
318,Bronwydd,,Bronwydd
319,Bronwydd,,Bronwydd
320,Bronwylfa,,Bronwylfa
321,Bron-y-môr,,Bron-y-môr
322,Brook,,Brook
323,Brychdwn,,Broughton
324,Brychdyn,,Broughton
325,Brymbo,,Brymbo
326,Brymbo,,Brymbo
327,Bryn,,Bryn
328,Bryn,,Bryn
329,Bryn,,Bryn
330,"Bryn Offa",,"Bryn Offa"
331,"Bryn Pen-y-lan",,"Bryn Pen-y-lan"
332,Brynafan,,Brynafan
333,Brynaman,,Brynaman
334,"Brynaman Isaf",,"Lower Brynaman"
335,"Brynaman Uchaf",,"Brynaman Uchaf"
336,Brynawel,,Brynawel
337,Brynberian,,Brynberian
338,Brynbryddan,,Brynbryddan
339,Brynbuga,,Usk
340,Brynbwbach,,Brynbwbach
341,Bryn-cae,,Bryn-cae
342,Bryncelyn,,Bryncelyn
343,Bryncethin,,Bryncethin
344,Bryncir,,Bryncir
345,Bryn-coch,,Bryn-coch
346,Bryn-coch,,Bryn-coch
347,Bryncoedifor,,Bryncoedifor
348,Bryncroes,,Bryncroes
349,Bryn-crug,,Bryn-crug
350,Bryncynfelyn,,Bryncynfelyn
351,Bryn-du,,Bryn-du
352,Bryn-du,,Bryn-du
353,Bryneglwys,,Bryneglwys
354,Bryneglwys,,Bryneglwys
355,Brynffordd,,Brynford
356,Bryn-glas,,Bryn-glas
357,Bryngwenin,,Bryngwenin
358,Bryngwran,,Bryngwran
359,Bryngwyn,,Bryngwyn
360,Bryn-gwyn,,Bryn-gwyn
361,Brynhenllan,,Brynhenllan
362,Brynheulog,,Brynheulog
363,Brynhoffnant,,Brynhoffnant
364,Brynhovah,,Brynhovah
365,Brynhyfryd,,Summerhill
366,Brynhyfryd,,Brynhyfryd
367,Bryniau,,Bryniau
368,Bryniau,,Bryniau
369,Brynithel,,Brynithel
370,Bryn-llwyd,,Bryn-llwyd
371,Bryn-mawr,,Bryn-mawr
372,Bryn-mawr,,Bryn-mawr
373,Bryn-mawr,,Bryn-mawr
374,Brynmenyn,,Brynmenyn
375,Brynmill,,Brynmill
376,Brynmyrddin,,Brynmyrddin
377,Brynna,,Brynna
378,Brynnaugwynion,,Brynnaugwynion
379,Bryn-newydd,,Bryn-newydd
380,Brynrefail,,Brynrefail
381,Brynsadler,,Brynsadler
382,Brynsaithmarchog,,Brynsaithmarchog
383,Brynsiencyn,,Brynsiencyn
384,Bryn-teg,,Bryn-teg
385,Bryn-teg,,Bryn-teg
386,Bryn-teg,,Bryn-teg
387,Brynteifi,,Brynteifi
388,Bryntelych,,Bryntelych
389,Bryntirion,,Bryntirion
390,Bryn-y-bâl,,Bryn-y-bâl
391,Bryn-y-maen,,Bryn-y-maen
392,Brynyreos,,Brynyreos
393,Buckholt,,Buckholt
394,Bugeildy,,Beguildy
395,"Bullyhole Bottom",,"Bullyhole Bottom"
396,Bulwark,,Bulwark
397,Burdonshill,,Burdonshill
398,Burlingjobb,,Burlingjobb
399,"Burntwood Pentre",,"Burntwood Pentre"
400,Burry,,Burry
401,"Burry Green",,"Burry Green"
402,Burton,,Burton
403,Burton,,Burton
404,"Burton Ferry",,"Burton Ferry"
405,Burwen,,Burwen
406,Bwcle,,Buckley
407,Bwlch,,Bwlch
408,Bwlchderwin,,Bwlchderwin
409,Bwlch-gwyn,,Bwlch-gwyn
410,Bwlch-llan,,Bwlch-llan
411,Bwlchnewydd,,Bwlchnewydd
412,Bwlchtocyn,,Bwlchtocyn
413,Bwlchycibau,,Bwlchycibau
414,Bwlch-y-ddâr,,Bwlch-y-ddâr
415,Bwlchyfadfa,,Bwlchyfadfa
416,Bwlch-y-ffridd,,Bwlch-y-ffridd
417,Bwlch-y-groes,,Bwlch-y-groes
418,Bwlch-y-groes,,Bwlch-y-groes
419,Bwlch-y-llyn,,Bwlch-y-llyn
420,Bwlchymynydd,,Bwlchymynydd
421,Bwlchysarnau,,Bwlchysarnau
422,"Bwrdd Arthur",,"Bwrdd Arthur"
423,Byeastwood,,Byeastwood
424,Bylchau,,Bylchau
425,Cadle,,Cadle
426,"Cadney Bank",,"Cadney Bank"
427,Cadole,,Cadole
428,Cae’r-bryn,,Cae’r-bryn
429,Caeathro,,Caeathro
430,Cae-clyd,,Cae-clyd
431,Cae-draw,,Cae-draw
432,Caeharris,,Caeharris
433,Caehopkin,,Caehopkin
434,Cae-mawr,,Cae-mawr
435,Cae-mawr,,Cae-mawr
436,Caeo,,Caeo
437,"Caer Beris",,"Caer Beris"
438,"Caer Din",,"Caer Din"
439,"Caer Du",,"Caer Du"
440,"Caer Estyn",,"Caer Estyn"
441,"Caer Fawr",,"Caer Fawr"
442,Caeraca,,Caeraca
443,Caerau,,Caerau
444,Caerau,,Caerau
445,"Caerau Park",,"Caerau Park"
446,Cae'r-bont,,Cae'r-bont
447,Caerdeon,,Caerdeon
448,Caerdydd,,Cardiff
449,Caereithin,,Caereithin
450,Caerfarchell,,Caerfarchell
451,Caerffili,,Caerphilly
452,Caerfyrddin,,Carmarthen
453,Caergeiliog,,Caergeiliog
454,Caergwrle,,Caergwrle
455,Caergybi,,Holyhead
456,Caerhendy,,Caerhendy
457,Caerhun,,Caerhun
458,Caerhun,,Caerhun
459,Caerhywel,,Caerhywel
460,Caeriw,,Carew
461,Cae'r-lan,,Cae'r-lan
462,Caerllion,,Caerleon
463,Caermead,,Caermead
464,Caernarfon,,Caernarfon
465,Caersŵs,,Caersŵs
466,Caerwedros,,Caerwedros
467,Caer-went,,Caer-went
468,Caerwys,,Caerwys
469,"Caggle Street",,"Caggle Street"
470,Caim,,Caim
471,Calcoed,,Calcoed
472,Caletwr,,Caletwr
473,Camlan,,Camlan
474,Camnant,,Camnant
475,"Camp Hill",,"Camp Hill"
476,Camros,,Camros
477,Cantref,,Cantref
478,Capel,,Capel
479,"Capel Bangor",,"Capel Bangor"
480,"Capel Betws Leucu",,"Capel Betws Leucu"
481,"Capel Coch",,"Capel Coch"
482,"Capel Curig",,"Capel Curig"
483,"Capel Cynon",,"Capel Cynon"
484,"Capel Dewi",,"Capel Dewi"
485,"Capel Dewi",,"Capel Dewi"
486,"Capel Dewi",,"Capel Dewi"
487,"Capel Garmon",,"Capel Garmon"
488,"Capel Gwyn",,"Capel Gwyn"
489,"Capel Gwynfe",,"Capel Gwynfe"
490,"Capel Hendre",,"Capel Hendre"
491,"Capel Isaac",,"Capel Isaac"
492,"Capel Isaf",,"Lower Chapel"
493,"Capel Iwan",,"Capel Iwan"
494,"Capel Llanilltern",,"Capel Llanilltern"
495,"Capel Madog",,"Capel Madog"
496,"Capel Mawr",,"Capel Mawr"
497,"Capel Newydd",,Newchapel
498,"Capel Parc",,"Capel Parc"
499,"Capel Seion",,"Capel Seion"
500,"Capel Seion",,"Capel Seion"
501,"Capel Tygwydd",,"Capel Tygwydd"
502,"Capel Uchaf",,"Capel Uchaf"
503,"Capel Uchaf",,"Upper Chapel"
504,"Capel Ulo",,"Capel Ulo"
505,Capel-y-ffin,,Capel-y-ffin
506,Capel-y-ffin,,Capel-y-ffin
507,Carcwm,,Carcwm
508,"Carew Cheriton",,"Carew Cheriton"
509,"Carew Newton",,"Carew Newton"
510,Carmel,,Carmel
511,Carmel,,Carmel
512,Carmel,,Carmel
513,Carmel,,Carmel
514,Carmel,,Carmel
515,"Carn Owen",,"Carn Owen"
516,"Carn Penrhiwllwydog",,"Carn Penrhiwllwydog"
517,"Carn Ricet",,"Carn Ricet"
518,"Carn y Castell",,"Carn y Castell"
519,"Carn y Geifr",,"Carn y Geifr"
520,"Carnau Cefn-y-ffordd",,"Carnau Cefn-y-ffordd"
521,Carnedd,,Carnedd
522,"Carnedd Wen",,"Carnedd Wen"
523,Carnetown,,Carnetown
524,Carn-glas,,Carn-glas
525,Carnhedryn,,Carnhedryn
526,Carno,,Carno
527,"Carreg Cennen",,"Carreg Cennen"
528,"Carreg Wen",,"Carreg Wen"
529,Carreg-lefn,,Carreg-lefn
530,Carreg-wen,,Carreg-wen
531,Carreg-y-gath,,Carreg-y-gath
532,Carrog,,Carrog
533,"Carrow Hill",,"Carrow Hill"
534,Carwe,,Carwe
535,Cas-bach,,Castleton
536,Cas-fuwch,,Castlebythe
537,Casgob,,Casgob
538,Cas-gwent,,Chepstow
539,Cas-lai,,Hayscastle
540,Casllwchwr,,Loughor
541,Cas-mael,,Puncheston
542,Casmorys,,"Castle Morris"
543,Casnewydd,,Newport
544,Casnewydd-bach,,"Little Newcastle"
545,"Castell Caereinion",,"Castle Caereinion"
546,Castellau,,Castellau
547,Castelldwyran,,Castelldwyran
548,Castellmartin,,Castlemartin
549,Castell-nedd,,Neath
550,Castellnewydd,,Newcastle
551,Castellnewydd,,Newcastle
552,"Castellnewydd Emlyn",,"Newcastle Emlyn"
553,Castell-paen,,Painscastle
554,Castell-y-bwch,,Castell-y-bwch
555,Castellyrhingyll,,Castellyrhingyll
556,Castle-upon-Alun,,Castle-upon-Alun
557,Caswell,,Caswell
558,Cas-wis,,Wiston
559,Catbrook,,Catbrook
560,Cathays,,Cathays
561,Cathedine,,Cathedine
562,"Cats Ash",,"Cats Ash"
563,"Cefn Fforest",,"Cefn Fforest"
564,"Cefn Hengoed",,"Cefn Hengoed"
565,"Cefn Mabli",,"Cefn Mably"
566,"Cefn Mawr",,"Cefn Mawr"
567,"Cefn Rhigos",,"Cefn Rhigos"
568,Cefnberain,,Cefnberain
569,Cefn-brith,,Cefn-brith
570,Cefn-brith,,Cefn-brith
571,Cefn-brith,,Cefn-brith
572,Cefn-bryn-brain,,Cefn-bryn-brain
573,Cefnbychan,,Cefnbychan
574,Cefncaeau,,Cefncaeau
575,Cefncanol,,Cefncanol
576,Cefn-coch,,Cefn-coch
577,Cefncoedycymer,Cefn-coed,Cefncoedycymer
578,Cefn-crib,,Cefn-crib
579,Cefncribwr,,Cefncribwr
580,Cefnddwygraig,,Cefnddwygraig
581,Cefnddwysarn,,Cefnddwysarn
582,Cefneithin,,Cefneithin
583,Cefn-glas,,Cefn-glas
584,Cefngolau,,Cefngolau
585,Cefngorwydd,,Cefngorwydd
586,Cefnhengoed,,Cefnhengoed
587,Cefn-llwyd,,Cefn-llwyd
588,Cefnllyfnog,,Cefnllyfnog
589,Cefn-mawr,,Cefn-mawr
590,Cefnpennar,,Cefnpennar
591,Cefnpentre,,Cefnpentre
592,Cefn-y-bedd,,Cefn-y-bedd
593,Cefn-y-coed,,Cefn-y-coed
594,Cefn-y-garth,,Cefn-y-garth
595,Cefn-y-pant,,Cefn-y-pant
596,Cefn-y-pant,,Pantside
597,Cegidfa,,Guilsfield
598,"Cei Connah",,"Connah's Quay"
599,"Cei Lawrenni",,"Lawrenny Quay"
600,"Cei’r Trallwng",,"Pool Quay"
601,Cei-bach,,Cei-bach
602,Ceidio,,Ceidio
603,Ceinewydd,,"New Quay"
604,Ceint,,Ceint
605,Ceinws,,Ceinws
606,Cellan,,Cellan
607,Celstryn,,Kelsterton
608,Celynnen,,Celynnen
609,Cemaes,,Cemaes
610,Cemaes,,Cemaes
611,"Cemais Comawndwr",,"Kemeys Commander"
612,"Cemais Isaf",,"Kemeys Inferior"
613,Cemlyn,,Cemlyn
614,Cenarth,,Cenarth
615,Cendl,,Beaufort
616,Cennin,,Cennin
617,Ceri,,Kerry
618,Cerist,,Cerist
619,Cerrigceinwen,,Cerrigceinwen
620,Cerrigllwydion,,Cerrigllwydion
621,Cerrigydrudion,,Cerrigydrudion
622,Ceunant,,Ceunant
623,"Chapel of Ease",,"Chapel of Ease"
624,Chatham,,Chatham
625,Cheltenham,,Cheltenham
626,Cheriton,,Cheriton
627,Chippenham,,Chippenham
628,Chwilog,,Chwilog
629,Chwitffordd,,Whitford
630,Cicelyford,,Cicelyford
631,Cilâ,,Killay
632,"Cilâ Uchaf",,"Upper Killay"
633,Cilan,,Cilan
634,Cilau,,Cilau
635,Cilcain,,Cilcain
636,Cilcennin,,Cilcennin
637,Cilcewydd,,Cilcewydd
638,Cilfái,,Kilvey
639,Cil-ffriw,,Cil-ffriw
640,Cilfodan,,Cilfodan
641,Cilfynydd,,Cilfynydd
642,Cilgerran,,Cilgerran
643,Cilgeti,,Kilgetty
644,Cilgwrrwg,,Cilgwrrwg
645,Cilgwyn,,Cilgwyn
646,Cilgwyn,,Cilgwyn
647,"Ciliau Aeron",,"Ciliau Aeron"
648,Cilmaen-gwyn,,Cilmaen-gwyn
649,Cilmeri,,Cilmeri
650,Cilrhedyn,,Cilrhedyn
651,Cilrhedyn,,Cilrhedyn
652,Cilsân,,Cilsân
653,Ciltalgarth,,Ciltalgarth
654,Cilybebyll,,Cilybebyll
655,Cil-y-coed,,Caldicot
656,Cil-y-cwm,,Cil-y-cwm
657,Cilymaenllwyd,,Cilymaenllwyd
658,Cimla,,Cimla
659,Cipin,,Cipin
660,City,,City
661,Clarach,,Clarach
662,Clarbeston,,Clarbeston
663,"Clarbeston Road",,"Clarbeston Road"
664,"Y Clas",,Clase
665,"Y Clas-ar-Wy",,Glasbury
666,Clawdd-coch,,Clawdd-coch
667,Clawddnewydd,,Clawddnewydd
668,Clawddponcen,,Clawddponcen
669,Cleddon,,Cleddon
670,Cleidda,,Clytha
671,Cleirwy,,Clyro
672,Clocaenog,,Clocaenog
673,Cloddiau,,Cloddiau
674,Cloigyn,,Cloigyn
675,Clun,,Clyne
676,Clunderwen,,Clunderwen
677,Clun-du,,Clun-du
678,Clwt-y-bont,,Clwt-y-bont
679,"Clwyd Gwilym",,"Clwyd Gwilym"
680,Clwydyfagwyr,,Clwydyfagwyr
681,Clydach,,Clydach
682,Clydach,,Clydach
683,Clydach,,Clydach
684,"Clydach Terrace",,"Clydach Terrace"
685,"Clynnog Fawr",,"Clynnog Fawr"
686,"Clytha Park",,"Clytha Park"
687,Cnwch-coch,,Cnwch-coch
688,Cnwclas,,Knucklas
689,Cnwcylili,,Cnwcylili
690,Coalbrook,,Coalbrook
691,"Cobblers Plain",,"Cobblers Plain"
692,"Cock Bank",,"Cock Bank"
693,"Y Cocyd",,Cockett
694,"Coed Gwent",,Wentwood
695,Coedana,,Coedana
696,Coedcae,,Coedcae
697,Coedcae,,Coedcae
698,Coedcernyw,,Coedkernew
699,Coedcwnwr,,Coedcwnwr
700,Coed-duon,,Blackwood
701,Coedelái,,Coed-ely
702,Coed-llai,,Leeswood
703,Coed-mawr,,Coed-mawr
704,Coedmorgan,,Coedmorgan
705,Coed-poeth,,Coed-poeth
706,Coed-talon,,Coed-talon
707,Coedway,,Coedway
708,Coed-y-brain,,Coed-y-brain
709,Coedybrenin,,Kingswood
710,Coed-y-bryn,,Coed-y-bryn
711,Coedycaerau,,Coedycaerau
712,Coedyfedw,,Coedyfedw
713,Coed-y-paen,,Coed-y-paen
714,Coed-y-parc,,Coed-y-parc
715,Coed-yr-iarll,,Earlswood
716,Coedystumgwern,,Coedystumgwern
717,Coelbren,,Coelbren
718,Coety,,Coity
719,Cog,,Cog
720,Cogan,,Cogan
721,Colcot,,Colcot
722,"Cold Blow",,"Cold Blow"
723,"Cold Inn",,"Cold Inn"
724,Coldbrook,,Coldbrook
725,Coldra,,Coldra
726,Colfa,,Colfa
727,Colston,,Colston
728,"Comin Cefn-llwyn",,"Comin Cefn-llwyn"
729,"Comin Llanddinol",,"Itton Common"
730,"Comin Llanfihangel Troddi",,"Mitchel Troy Common"
731,Comins-coch,,Comins-coch
732,Comins-coch,,Comins-coch
733,Commonwood,,Commonwood
734,Common-y-coed,,Common-y-coed
735,Congl-y-wal,,Congl-y-wal
736,Conwy,,Conwy
737,Coopers,,Coopers
738,Corlannau,,Corlannau
739,"Corneli Waelod",,"South Cornelly"
740,Corntwn,,Corntown
741,Corris,,Corris
742,"Corris Uchaf",,"Corris Uchaf"
743,Corwen,,Corwen
744,Coryton,,Coryton
745,Cosheston,,Cosheston
746,Cosmeston,,Cosmeston
747,"The Cot",,"The Cot"
748,Cotland,,Cotland
749,"Crabtree Green",,"Crabtree Green"
750,Cradoc,,Cradoc
751,Crai,,Crai
752,"Craig Pen-llin",,"Craig Pen-llin"
753,Craig-berth-lwyd,,Craig-berth-lwyd
754,Craig-cefn-parc,,Craig-cefn-parc
755,Craig-y-don,,Craig-y-don
756,Craig-y-dorth,,Craig-y-dorth
757,Craig-y-duke,,Craig-y-duke
758,Craigypenrhyn,,Craigypenrhyn
759,Cregrina,,Cregrina
760,Creigau,,Creigau
761,Creigiau,,Creigiau
762,Creseli,,Cresselly
763,"Crew Green",,"Crew Green"
764,Cribyn,,Cribyn
765,Cricieth,,Cricieth
766,Crindai,,Crindai
767,"Croes Cas-lai",,"Haycastle Cross"
768,"Croes Cwrlwys",,"Culverhouse Cross"
769,"Croes Llanfair",,"Croes Llanfair"
770,Croeserw,,Croeserw
771,Croes-goch,,Croes-goch
772,Croes-hywel,,Croes-hywel
773,Croes-lan,,Croes-lan
